new_ID,title,length,artist,album,year,language
0,Action PAINTING! - Mustard Gas,129,,There and Back Again Lane,95,English
1,Your Grace,unk.,Kathy Troccoli,Comfort,2005,English
2,Well You Needn't,321266,Ernie Stadler Jazz Quintet,First Down,2010,English
3,"Try (acoustic) - 2008-02-15: Le Grand Rex, Paris, France",,Neil Young,,,English
4,Bruce Maginnis - Sttreet Hype,177,,Groove City,05,English
5,Luce Dufault - Ballade à donner,242,,Luce Dufault,96,French
6,El Vaquero Chido (The Cool Cowboy),129000,Byron Brizuela & Enrique Carbajal,Mexico,,English
7,002-Particle/Wave,6m 21sec,Lunchbox,Evolver (2002),,Eng.
8,001-Deja Vu,3m 36sec,Blanket,Nice (2000),,ng.
9,019-Feeling Good,2m 55sec,Andy Bey and the Bey Sisters,Andy Bey and the Bey Sisters (2000),,Eng.
10,Marlene Dietrich - Wo ist der Mann?,188,,Die frühen Aufnahmen,,[Multiple languages]
11,00-1,3m 52sec,,(2010),,Jap.
12,AmnerisIntro:EveryStoryIsaLoveStory/HeatherHeadley/It'sCheesy:EasyasLife(ForbiddenBroadway2001:ASpoofOdyssey(2001originaloffBroadwaycast)),03:39,Gerard Alessandrini,Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),2901,
13,Cállate - Los vaqueros: el regreso: Deluxe Edition,4.367,Wisin & Yandel,,'11,Spanish
14,Al Hirt - Tansy,145,,Greatest Hits,01,Engliish
15,Fish Tail Blues - The King & Mister Jelly Lord,3.085,Jelly Roll Morton,,'89,English
16,Clouseau - Anne,162,,"De Pre Historie 1989, Volume 3",00,[Multiple languages]
17,Tony Rice - Urge for Going,350,,Night Flyer,08,English
18,"Placebo Persuasion (More Specific, Less Pacific)",02:36,Caesura,"More Specific, Less Pacific",2002,
19,En dless Love,26 6000,Diana Ross & Lionel Richie,"Motown 50: Yesterday, Today, Forever (Japan Edition)",2008,English
20,016-Action (interlude),0m 41sec,Hell,Teufelswerk (2009),,Eng.
21,Lass Mich Nie Wieder Weinen (Denn Sie Fahren Hinaus Auf Das Meer),02:21,Peggy Brown,Denn Sie Fahren Hinaus Auf Das Meer,,
22,Thunder Underground,388826,Ozzy Osbourne,Ozzmosis,2002,English
23,Wayanay - Andes Cosmos,249,,Treasures Of The Incas (Andes Cosmos),,
24,Special Feature Including A Hybrid Documentary,,Hybrid,Morning_Sci-Fi,3,English
25,I could easily fall in love with you (Cuore matto),00:00,LittleTony,Cuore mattoo,1997,
26,Mu sõber tuul - Uus Laine,4.567,Laine,,'00,Estonian
27,Still in love with you (With This Ring… Forever I Do),04:36,Chris Willis,With This Ring… Forever I Do,2002,
28,007-A Tout A L'Heure,4m 0sec,Bibio,Ministry of Sound: Chillout Sessions XVI (2013),,Eng.
29,CharlyGarcíaNobombardeenBuenosAires,242,,Oro: Grandes éxitos,03,Spanish
30,Fried Bananas - Live at the Amsterdam Paradiso,12.3,Dexter Gordon,,'94,English
31,闇に笑ふ,69000,服部隆之,スレイヤーズ: The Motion Picture,1995,Japanese
32,Praia nua (Ensaio - Signo de ar),04:57,Jorge Vercilo,Ensaio - Signo de ar,2005,
33,Starship Troopers (D-Bop's Saturday Nite radio edit) (Starship Troopers (feat. Sarah Brightman)),03:35,United Citizen Federation,Starship Troopers (feat. Sarah Brightman),,
34,hWeels of FIRE,230893,Saints & Sinners,Saints & Sinners,,
35,011-Dey Want Some,4m 12sec,"BeatKing feat. Slim Thug, Kirko Bangz & Bun B",Club God 2 (2012),,Eng.
36,Charlie Walker,157533,Charlie Walker,Pick Me Up on Your Way Down,,
37,Jivin' (in a Jump Swing Band),287000,Kamikaze Mustang Pilot,Kamikaze Mustang Pilot,,English
38,It's a Heartache,210120,Bonnie Tyler,"Seventies Top 100, Volume 2",2008,English
39,Comme ça tu veux un gun ? Tu trouves ça l'fun !,201400,KC L.M.N.O.P.,Ta yeul…,1996,French
40,Implantation,92960,TOMOSUKE,GUITAR FREAKS 3rd Mix & drummania 2nd Mix soundtracks,2000,Japanese
41,Takin' My Time (Kiss My Amps Live),04:41,Tom Petty and the Heartbreakers,Kiss My Amps Live,2011,
42,Yo Quisiera Ser El Cóndor - Ya No Soy El Niño Aquel,5.025,Jerry Rivera,,'97,Spanish
43,Sea Breeze (full mix),30000,Burgo & David Haig,Massive - Rock/Pop,,Englih
44,Introduction et Variations sur une Ronde Populaire - Encore!,8.542,Gabriel Pierné,,'98,Engilsh
45,011-Der Weg Zum Licht,7m 9sec,Nihilistic Front,Mia Runa (2005),,Eng.
46,Le Marchand de Poisson - Planet Jazz,2.895,Sidney Bechet,,,[Multiple languages]
47,Selffish - Sound Judgement,319,,electronica@*.lv,03,English
48,Pitch Black (Rotten to the Core),05:17,X-Fusion,Rotten to the Core,2007,
49,Sam Cooke - You Send Me,163,,The Greatest Soul Collection,06,English
50,Domenico Modugno - La distania es como el viento,240,,Románticos Inolvidables Vol 2,,Spanish
51,"Mind 2 Motion - Bluffers Guide, Volume 6",4.722,Roots Manuva,,'05,English
52,'Pines of Rome' - The Pines of the Villa Borghese (Debussy - La Mer & Respighi - Pines and Fountains of Rome - RCA LS 1995),02:42,Ottorino Respighi,Debussy - La Mer & Respighi - Pines and Fountains of Rome - RCA LS 1995,1995,
53,Ten Million Teardrops,195466,Jason McCoy,Honky Tonk Sonatas,2001,English
54,Who Dat Girl (Promise Land club mix),5.417,Flo Rida feat. Akon,Dat Girl,'10,English
55,020-Annemarie,1m 46sec,Feest Team,Apres Ski Safari: Vol 4 (2007),,n.a.
56,005-Candy / All I Do Is Dream of You / Spring Is Here / 720 in the Books / It Happened in Monterey / What Can I Say After I Say I'm Sorry,6m 42sec,Ella Fitzgerald,30 by Ella (1999),,Eng.
57,Игорь Фёдорович Стравинский - Firebird: Finale (Philharmonia Orchestra feat. conductor: Esa-Pekka Salonen),188,,Ballet- Hits,95,English
58,"I Don't Want to Set the World on Fire - The Gals of the Big ""D"" Jamboree",2.642,Lovett Sisters,,'01,English
59,005-Al verte las flores lloran,2m 42sec,Camaron de la Isla,Una leyenda flamenca (1992),,Spa.
60,006-Murder & Mayhem,6m 26sec,Noelle Hampton,Under  These Skies (unknown),,E.
61,Apache (instrumental) (On Stage / In Studio),03:02,On Stage / In Studio,On Stage / In Studio,2012,
