new_ID,title,length,artist,album,year,language
0,007,1m 58sec,[unknown],Cantigas de roda (unknown),,Por.
1,Action PAINTING! - Mustard Gas,129,,There and Back Again Lane,95,English
2,Your Grace,unk.,Kathy Troccoli,Comfort,2005,English
3,Well You Needn't,321266,Ernie Stadler Jazz Quintet,First Down,2010,English
4,"Try (acoustic) - 2008-02-15: Le Grand Rex, Paris, France",,Neil Young,,,English
5,Bruce Maginnis - Sttreet Hype,177,,Groove City,05,English
6,Luce Dufault - Ballade à donner,242,,Luce Dufault,96,French
7,Just Like Tom Thumb's Blues (live),462000,Wendy Saddington,"Blues Women Anthology, Volume 7",2007,English
8,Στα καμένα,195000,Λαυρέντης Μαχαιρίίτσας,"Συλλογή Δίφωνο, 22: Μουσικοί βιότοποι",1997,Greek
9,,188400,Anathema,Alternative 4,1998,English
10,El Vaquero Chido (The Cool Cowboy),129000,Byron Brizuela & Enrique Carbajal,Mexico,,English
11,002-Particle/Wave,6m 21sec,Lunchbox,Evolver (2002),,Eng.
12,001-Deja Vu,3m 36sec,Blanket,Nice (2000),,ng.
13,Marlene Dietrich - Wo ist der Mann?,188,,Die frühen Aufnahmen,,[Multiple languages]
14,00-1,3m 52sec,,(2010),,Jap.
15,Gimme Dat (remix),263497,Rye Rye,RYEot powRR,2011,English
16,AmnerisIntro:EveryStoryIsaLoveStory/HeatherHeadley/It'sCheesy:EasyasLife(ForbiddenBroadway2001:ASpoofOdyssey(2001originaloffBroadwaycast)),03:39,Gerard Alessandrini,Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),2901,
17,Cállate - Los vaqueros: el regreso: Deluxe Edition,4.367,Wisin & Yandel,,'11,Spanish
18,Outro (Working Title),01:26,FeSo,Working Title,2011,
19,10cm,03:45,Anemone,10cm,2013,
20,Al Hirt - Tansy,145,,Greatest Hits,01,Engliish
21,Clouseau - Anne,162,,"De Pre Historie 1989, Volume 3",00,[Multiple languages]
22,Tony Rice - Urge for Going,350,,Night Flyer,08,English
23,"Placebo Persuasion (More Specific, Less Pacific)",02:36,Caesura,"More Specific, Less Pacific",2002,
24,En dless Love,26 6000,Diana Ross & Lionel Richie,"Motown 50: Yesterday, Today, Forever (Japan Edition)",2008,English
25,"Tabu Recz - Du Ikk' Sej, Din Pik Er Ikk' Lang, Vi Skyder Dig",240,,Tabu Recz,,
26,Tuning,78000,The Doros,Live in Vancouver 1970,2010,English
27,016-Action (interlude),0m 41sec,Hell,Teufelswerk (2009),,Eng.
28,Lass Mich Nie Wieder Weinen (Denn Sie Fahren Hinaus Auf Das Meer),02:21,Peggy Brown,Denn Sie Fahren Hinaus Auf Das Meer,,
29,Thunder Underground,388826,Ozzy Osbourne,Ozzmosis,2002,English
30,Wayanay - Andes Cosmos,249,,Treasures Of The Incas (Andes Cosmos),,
31,Special Feature Including A Hybrid Documentary,,Hybrid,Morning_Sci-Fi,3,English
32,I could easily fall in love with you (Cuore matto),00:00,LittleTony,Cuore mattoo,1997,
33,Mu sõber tuul - Uus Laine,4.567,Laine,,'00,Estonian
34,Still in love with you (With This Ring… Forever I Do),04:36,Chris Willis,With This Ring… Forever I Do,2002,
35,Lowland Trio - Van mij kan je de pot op,150,,Hollands Glorie: Lowland Trio,02,Dutch
36,Fried Bananas - Live at the Amsterdam Paradiso,12.3,Dexter Gordon,,'94,English
37,Style Talks (g) (link) (Swing of the City),00:09,Keith Mansfield,Swing of the City,,
38,Praia nua (Ensaio - Signo de ar),04:57,Jorge Vercilo,Ensaio - Signo de ar,2005,
39,Starship Troopers (D-Bop's Saturday Nite radio edit) (Starship Troopers (feat. Sarah Brightman)),03:35,United Citizen Federation,Starship Troopers (feat. Sarah Brightman),,
40,hWeels of FIRE,230893,Saints & Sinners,Saints & Sinners,,
41,Bring Back the Love (Spaced Out dub),00:00,Laura Harris,Bring Back the Love,1998,
42,011-Dey Want Some,4m 12sec,"BeatKing feat. Slim Thug, Kirko Bangz & Bun B",Club God 2 (2012),,Eng.
43,Bury Me (demo) - Finch,3.833,Finch,,'08,English
44,Charlie Walker,157533,Charlie Walker,Pick Me Up on Your Way Down,,
45,012-Lullabye,3m 51sec,,lovetheonlyway (2002),,Eng.
46,It's a Heartache,210120,Bonnie Tyler,"Seventies Top 100, Volume 2",2008,English
47,Sinkhole - Wreck on the Highway,109,,Groping for Trout,92,English
48,Comme ça tu veux un gun ? Tu trouves ça l'fun !,201400,KC L.M.N.O.P.,Ta yeul…,1996,French
49,Implantation,92960,TOMOSUKE,GUITAR FREAKS 3rd Mix & drummania 2nd Mix soundtracks,2000,Japanese
50,Takin' My Time (Kiss My Amps Live),04:41,Tom Petty and the Heartbreakers,Kiss My Amps Live,2011,
51,Yo Quisiera Ser El Cóndor - Ya No Soy El Niño Aquel,5.025,Jerry Rivera,,'97,Spanish
52,Sea Breeze (full mix),30000,Burgo & David Haig,Massive - Rock/Pop,,Englih
53,Introduction et Variations sur une Ronde Populaire - Encore!,8.542,Gabriel Pierné,,'98,Engilsh
54,011-Der Weg Zum Licht,7m 9sec,Nihilistic Front,Mia Runa (2005),,Eng.
55,Le Marchand de Poisson - Planet Jazz,2.895,Sidney Bechet,,,[Multiple languages]
56,Selffish - Sound Judgement,319,,electronica@*.lv,03,English
57,Pitch Black (Rotten to the Core),05:17,X-Fusion,Rotten to the Core,2007,
58,Sam Cooke - You Send Me,163,,The Greatest Soul Collection,06,English
59,Domenico Modugno - La distania es como el viento,240,,Románticos Inolvidables Vol 2,,Spanish
60,,30000,Stephan Sechi,Funk,,English
61,"Mind 2 Motion - Bluffers Guide, Volume 6",4.722,Roots Manuva,,'05,English
62,Ten Million Teardrops,195466,Jason McCoy,Honky Tonk Sonatas,2001,English
63,Who Dat Girl (Promise Land club mix),5.417,Flo Rida feat. Akon,Dat Girl,'10,English
64,020-Annemarie,1m 46sec,Feest Team,Apres Ski Safari: Vol 4 (2007),,n.a.
65,005-Candy / All I Do Is Dream of You / Spring Is Here / 720 in the Books / It Happened in Monterey / What Can I Say After I Say I'm Sorry,6m 42sec,Ella Fitzgerald,30 by Ella (1999),,Eng.
66,Uriah Heep - Southern Star,266,,Into the Wild,11,English
67,Guns N’ Roses - Estranged,681,,Revolution Calling,91,English
68,001-Berimbou,2m 23sec,Astrud Gilberto,Look to the Rainbow (2008),,Eng.
69,Игорь Фёдорович Стравинский - Firebird: Finale (Philharmonia Orchestra feat. conductor: Esa-Pekka Salonen),188,,Ballet- Hits,95,English
70,"I Don't Want to Set the World on Fire - The Gals of the Big ""D"" Jamboree",2.642,Lovett Sisters,,'01,English
71,Got to Hurry (take 4) - The Yardbirds Story,2.609,Yardbirds,,'02,English
72,005-Al verte las flores lloran,2m 42sec,Camaron de la Isla,Una leyenda flamenca (1992),,Spa.
73,The Handiest Frenchman in the Caribbean (Don't Stop the Carnival),00:50,Jimmy Buffett,Don't Stop the Carnival,1998,
74,006-Murder & Mayhem,6m 26sec,Noelle Hampton,Under  These Skies (unknown),,E.
75,Apache (instrumental) (On Stage / In Studio),03:02,On Stage / In Studio,On Stage / In Studio,2012,
76,005-Put Me Back Together,2m 57sec,Drive Like You Stole It,Frequency (unknown),,Eng.
77,Mindsweeping - Cinematograph,0.85,Scrooge,,'97,[Multiple languages]
78,Red Chips,330946,,The Working Model (Reverse),2003,English
79,Carbona -  1001 Doses (Até Você Voltar),151,,Taito Não Engole Fichas,03,Portuguese
80,The Power of Love (Rob Searle club mix),08:40,Frankie Goes to Hollywood,The Power of Love,1990,
81,Tropical Dudes - Busybodies,227,,Tropical Monsters,08,English
82,005-Piranhes,5m 12sec,Rattler,Demo 2012 (unknown),,Eng.
83,Uroš Rakovec Trio - Tako lepo bo,169,,Poganjki,09,
84,War (Art of War),03:57,AG & Party Arty,Art of War War,2002,
85,Little for a Lot - Four Winds the Walker,4.359,Spires That in the Sunset Rise,,'05,English
86,003-Jayne,3m 37sec,Stereophonics,The Sunday Times: The State of Independence - V2 (2007),,Eng.
87,La Fessée,267693,Georges Brassens,Volume 9 : Supplique pour être enterré à la plage de Sète,1967,French
88,Why Not - The Lizzi eMcGuire Movie,2.981,Hilary Duff,,' 03,English
89,001-Nation of Sorrow,unknown,Battle Zone,Arson Around With Matches (unknown),,Eng.
90,Ronin on Air,181000,Younnat,Radiovision,,English
91,I'm Like a Lawyer With the Way I'm Always Trying to Get You Off (Me + You) (Now That's What I Call Music 26),03:35,FallOutBoy,Now That's What I Call Music 26,2008,
92,022-Over There Story,unknown,Kruger Brothers,Carolina Scrapbook (1999),,
93,007-When Love Comes to Town,unknown,U2 & B.B. King,"1987-11-24: Tarrant County Convention Center, Fort Worth, TX, USA (unknown)",,Enkg.
94,Пётр Ильич Чайковский - Pas d'action,623,,Dornröschen / Der Zauberladen,,
95,"Acting (2005-04-02: The Spanish Moon, Baton Rouge, LA, USA)",04:25,Macrosick,"2005-04-02: The Spanish Moon, Baton Rouge, LA, USA",,
96,Molly Half Head - Vivid Whitsun,276,,Sulk,93,English
97,Nefes (live in Bodrum),420000,Telvin,Telvin,2006,Turkish
98,慈愛の言葉集/日常会話篇 - 「ハヤテのごとく!」 キャラクターCD 2,0.104,マリア starring 田中理恵,,'07,Japanese
99,001-Stronger Woman,4m 2sec,Jewel,Perfectly Clear (2008),,Eng.
100,006-Turning,3m 21sec,Glass America,Fathom (unknown),,Eng.
101,Sacred Spirit - Yane-Heja-Hee,290,,More Chants and Dances of the Native Americans,00,English
102,ホームワーク (オリジナル・カラオケ) (ANNIVERSARY〜無限にCALLING YOU),00:00,松任谷由実,ANNIVERSARY〜無限にCALLING YOU,1989,
103,Butta-Few-Co - This Is My First Album,4.033,Kwest Tha Madd Lad,,'96,English
104,aMnassas - Johnny's Garden,167,,Carry On,98,English
105,Symphony X - Of Sins and Shadows,,,"2003-04-17: Langen, Germany",,English
106,Apache (instrumental),182840,Agents & Vesa Haaja,On Stage / In Studio,2012,[Multiple languages]
107,Lester Flatt & Earl Scruggs - I'm Going to Make Heaven My Home,159,,Bluegrass Bonanza,01,English
108,011-Non ti dimentichero,4m 59sec,Gianni Morandi,Come fa bene l'amore (2000),,Ita.
109,Evolution Fight (Creating Your New Environment),03:19,CYNE,Creating Your New Environment,2005,
110,***,212000,Wind Hearse,Witch's Arrows,,English
111,006-The Jailer,2m 49sec,Erin McKeown,Paste mPlayer #77 (2013),,Eng.
112,A csend (A hold szerelme),02:56,Tátrai Band,A hold szerelme,1995,
113,STP,187986,Sublime,Everything Under the Sun,2006,English
114,001-Sunlight,3m 40sec,The One AM Radio,Heaven Is Attached by a Slender Thhread (2011),,Eng.
115,Disorsder - Unknown Pleasures,3.539,Joy Division,,'88,English
116,Bagad Roñsed-Mor - Gavoten Ar Vro Boulet,239,,Mega Celtique,06,English
117,Broken,263543,Amber Claire,Love and Such,2004,English
118,Liquor Store Blues (Doo-Wops & Hooligans),03:49,Bruno Mars feat. Damian Marley,Doo-Wops & Hooligans,2011,
119,012-Nyt jatan vanhan Turun,3m 2sec,Tapio Heinonen,Paivat kuin unta (2008),,Fin.
120,岩崎文紀 - 深海の精,107,,あまえないでよっ!! さんとら冬盤,06,Japanese
121,The Pair Extraonrdinaire - I'm a Believer,,,It's a Wonderful World,67,English
122,013-Foe Life,4m 14sec,Mak 10,Snoop Dogg Presents: The West Coast Blueprint (2010),,Eng.
123,André HazesR - Ik ben een gokker,190,,De Hazes 100: Van de fans - Voor de fans,06,Dutch
124,Herb Alpert - Silent Tears And Roses,231,,Midnight Sun,92,English
125,Skit (Spürma (Puuhamaa skit)) (Runoja kontrollihuoneesta),00:32,Steen1,Runoja kontrollihuoneesta,2009,
126,Bloque Metafísico: La proporción y las distancias,158000,Macromassa,Los hechos Pérez,1993,Spanish
127,Oilean Draiochta,262000,Melanie O'Reilly,Celtic Spirit: Tales of the Soul,1998,English
128,Explanation,151000,Abstract Tribe Unique,Thynk Taynk -- Ocean Floor,,English
129,Full Force - Let's Dance Against the Wall,221,,Ahead of Their Time! Full Force's Greatest HXits,01,English
130,Haste Suraj Ki - Dil Ka Rishta,1.535,Nadeem-Shravan,,'05,Hindi
131,Particle/Wave (Evolver),06:21,Lunchbox,Evolver,2002,
132,Deja-Move - Ways to Go,355,,Collect the Cuts 2,11,English
133,Jacques Brel - Marieke,179,,"Intégrale Grand Jacques, Volume 10 : Ne me quitte pas",88,French
134,"Reboelje - It famke, de hûn en de houtkapper",342,,Hotel Reboelje,98,"Frisian, Western"
135,Megna's (Chameleon),03:52,Tim O’Brien,Chameleon,2008,
136,011-You're the Only Good Thing (That's Happened to Me),unknown,Jim Reeves,40 Golden Greats (1975),,Eng.
137,According to Me,,Mind the Gap,Make,2005,[Multiple languages]
138,Won't Be Long - The Best of Tracy Nelson & Mother Earth,3.554,Tracy Nelson,,,English
139,006-Nightline,3m 44sec,Randy Crawford,The Love Songs (unknown),,unknown
140,Hymn 48 (Jesus Is King) - Cherokee Sunday Morning,1.217,Cherokee National Youth Choir,,'05,English
141,Perdimos algo - Canciones inéditas,,Cecilia,,'92,Spanish
142,Sunday on My Mind (original mix),430897,Daniel Stefanik,Berlinn Afterhour 3 - From Minimal to Techno - From Electro to House,,English
143,Plump DJs - Acid Hustle,189,,Finger Lickin' Thang 4,06,English
144,Eight Pieces for Flute Alone -- Rezitativ,84000,unk.,Mark Sparks flute with Clinton Adams piano,,
145,011-,unknown,,(2008),,Gre.
146,Voodoo Lovers (Hurricäde),01:51,Hurricäde,Hurricäde,2008,
147,We Are the Prisoners (Anthology),01:44,Kids,Anthology,2007,
148,Concerto in G: I. Allegro ma non troppo,311000,Antonio Piacentino BRomano,Italian Flute Concertos,1993,English
149,Caedmon's Call - There's Only One (Holy One),222,,Share the Well,04,English
150,Endless Winter,443440,Marconi Union,A Lost Connection,2010,English
151,001-One Day (Live),4m 7sec,Caro Emerald,Live (unknown),,unnknown
152,Too Far Gone,242000,The All‐American Rejects,"Same Girl, New Songs",,English
153,"Slow, Loud and Bangin' (S.L.A.B.ed) - Slow, Loud and Bangin', Volume 4",5.617,"Trae, Jay'Ton, Lil' B, Lil Boss, Billy Cook, Big Bee, Billy, Kepoe & Lil' T",,'04,English
154,Junior Crehan's / Junior Crejan's (flings),179000,The Mulcahy Family,The Mulcahy Family,2000,English
155,Watermusic Suite: Adagio e staccato (Watermusic Suite / Music of the Royal Fireworks),02:25,George Frideric Handel,Watermusic Suite / Music of the Royal Fireworks,,
156,We  All Need Some Light,402000,Transatlantic,Live in Europe,2003,English
157,Heli Deinboek -O berwart (Birmingham),181,,Relativ Positiv,97,German
158,Nattestid ser porten vid 1 (Nattestid…),05:56,Taaake,Nattestid…,2007,
159,Xalm Retribution - Illusion of Love,313,,Illusion of Love,10,English
160,Closing - Urban Mantra,3.75,Wah!,,'02,English
161,Astronomy Domine - The Piper at the Gates of Dawn,4.202,Pink Floyd,,'87,English
162,F004-Jouluohtu motisklus,unknown,Kadri Savva,Voluaeg (2011),,Est.
163,Ritardo mestruale (...Se non avrei fatto il cantande),03:08,Checco Zalone,...Se non avrei fatto il cantande,,
164,Родина,291680,"Ольга Арефьева и группа ""Ковчег""",А и Б,2006,Russian
165,Je me rappelle d’une époque - Suicide commercial,5.583,Vrai Ben feat. Yahlane,,'09,French
